title,artist,url,source,key,detected_key,key_confidence,capo,tempo,difficulty,rating,genre,chord_content,chords_used,harmonic_map
Seandainya,Vierratale,https://www.chordtela.com/2015/07/vierra-seandainya.html,chordtela,,C major,0.86,,,,,,"Intro: Am F G [5x]

Am                F              G

 Kelak kau kan menjalani hidupmu sendiri

Am         F                      G

 Melukai kenangan yang telah kita lalui

Am              F               G

 Yang tersisa hanya aku sendiri disini

Am                F              G

 Kau akan terbang jauh menembus awan

Am             F              G

 Memulai kisah baru tanpa diriku

[Reff]

C                 G         E         Am    G

 Seandainya kau tahu ku tak ingin kau pergi

      F                 G               C

Meninggalkan ku sendiri bersama bayanganku

                 G      E          Am    G

Seandainya kau tahu aku kan selalu cinta

       F               G

Jangan kau lupakan kenangan kita selama ini

Musik: Am F G (2x)

Am                F              G

 Kelak kau kan menjalani hidupmu sendiri

Am         F                      G

 Melukai kenangan yang telah kita lalui

Am              F               G

 Yang tersisa hanya aku sendiri disini

Am                F              G

 Kau akan terbang jauh menembus awan

Am             F              G

 Memulai kisah baru tanpa diriku

[Reff]

C                 G         E         Am    G

 Seandainya kau tahu ku tak ingin kau pergi

      F                 G               C

Meninggalkan ku sendiri bersama bayanganku

                 G      E          Am    G

Seandainya kau tahu aku kan selalu cinta

       F               G

Jangan kau lupakan kenangan kita selama ini

Musik: Am F G       Am F G

          selama ini

[Reff]

C                 G         E         Am    G

 Seandainya kau tahu ku tak ingin kau pergi

      F                 G               C

Meninggalkan ku sendiri bersama bayanganku

                 G      E          Am    G

Seandainya kau tahu aku kan selalu cinta

       F               G

Jangan kau lupakan kenangan kita selama ini

Am F G       Am F G Am F G Am

     selama ini...","Am, F, G, C, E","{'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'E': {'roman': '[iii]', 'function': 'T', 'diatonic': False}}"
Rasa Ini,Vierratale,https://www.chordtela.com/2015/02/vierra-rasa-ini.html,chordtela,,C major,1.0,,,,,,"Intro : F Em Am Dm G C

        F Em Am Dm...G

F           Em

ku tak percaya

Dm      G   C

kau ada disini

F       Em

menemaniku

Dm      G     C

disaat dia pergi

F            Em

sungguh bahagia

Dm      G   C

kau ada disini

F            Em

menghapus semua

Dm         G    C

sakit yang ku rasa

*)

Dm               G

mungkinkah kau merasakan

Em             Am

semua yang ku pasrahkan

Dm           G

tenanglah kasih

Reff:

  C         G        

  ku suka dirinya,

  Am       G     C

  mungkin aku sayang

    F          Em

  namun apakah mungkin

  Am          G    C

  kau menjadi milikku

  C             G

  kau pernah menjadi,

     Am   G     C

  menjadi miliknya

    F             Em

  namun salahkah aku

    Am             G     F

  bila ku pernah merasa ini

Musik : F Em Am Dm G C

        F Em Am Dm G C

==Kembali ke : *), Reff

Musik : F G Am G C Dm G

==Kembali ke : Reff

Outro : F Em Am Dm G C [2x]","F, Em, Am, Dm, G, C","{'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'C': {'roman': 'I', 'function': 'T', 'diatonic': True}}"
Kesepian,Vierratale,https://www.chordtela.com/2016/08/vierra-kesepian.html,chordtela,,C major,0.72,,,,,,"Intro : C Em F Fm..

C            G

di mana kamu di mana

F          G

di sini bukan..

C            G

kemana kamu kemana

F          G

ke sini bukan..

*)

C              G

katanya pergi sebentar

F          G

ternyata lama..

C             G

tahukah aku sendiri

F          G

menunggu kamu..

Reff:

     C                Em

  jangan pergi pergi lagi

   Gm         A    Dm

  aku tak mau sendiri

  Fm      F      Em         Am

  temani aku tuk sebentar saja

   Dm                G

  agar aku tak kesepian..

==Kembali ke : *)

Musik : Am C F..

        Am C D..

        Dm Em F G

==Kembali ke : Reff [3x]

Outro : C Em F Fm C","C, Em, F, Fm, G, Gm, A, Dm, Am, D","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Fm': {'roman': 'iv', 'function': 'SD', 'diatonic': False}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Gm': {'roman': 'v', 'function': 'D', 'diatonic': False}, 'A': {'roman': 'VI', 'function': 'D', 'diatonic': False}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'D': {'roman': 'II', 'function': 'D', 'diatonic': False}}"
Perih,Vierratale,https://www.chordtela.com/2016/08/vierra-perih.html,chordtela,,C major,0.857,,,,,,"Intro : Am Em F G

        Am Em F G..

Am   Em

 dirimu..

F       G

 tak pernah menyadari

Am   Em

 semua..

F        G         (Dm)

 yang telah kau miliki

*)

Dm          Em

 kau buang aku

             F

tinggalkan diriku

 Dm           Em

kau hancurkan aku

           F          G

seakan ku tak pernah ada..

Reff:

          F    Am

  aku kan bertahan

          G   -G#m  Am

  meski takkan mungkin

            F    Am

  menerjang kisahnya

          G           (Am)

  walau perih..walau perih..

Musik: Am Em F G [2x]

Am    Em

 salahkah..(salahkah)

F     G          Am

 aku terlalu cinta

     Em

berharap..

F    G         (Dm)

 semua kan kembali

===Kembale ke : *), Reff

Musik: Am G F..

       Am G F..

       C G

[Reff end:]

          F    Am

  aku kan bertahan

          G  -G#m  Am

  meski takkan mungkin

            F    Am

  menerjang kisahnya

          G

  walau perih..

          F    Am

  aku kan bertahan

          G  -G#m  Am

  meski takkan mungkin

            F    Am

  menerjang kisahnya

          G            Am

  walau perih..walau perih..

Em         F              G

.. walau perih..(walau perih)

-G#m     Am  Em  F G Am..

 walau perih...","Am, Em, F, G, Dm, G#m, C","{'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'G#m': {'roman': '#v', 'function': 'D', 'diatonic': False}, 'C': {'roman': 'I', 'function': 'T', 'diatonic': True}}"
Jadi Yang Ku Inginkan,Vierratale,https://www.chordtela.com/2015/07/vierratale-jadi-yang-ku-inginkan.html,chordtela,,C major,1.0,,,,,,"Intro: C..C F..

C                      F

 kau tak sepenuhnya sendiri

C                  F

 aku kan slalu ada disini

C                   F

 mengapa oh mengapa dirimu

C                     F

 penuh dengan rasa bimbang

G             Am         F

tak perlu kau pergi tuk mencari

G         Am    F

mencari arti cinta..

Reff

      C

  aku sendiri disini menunggu

      G

  aku sendiri disini menanti

      Am           Em       F     G

  aku tak terbiasa untuk berharap

       C

  berlari untuk mengejar dirimu

        G

  dalam menggapai semua impiku

       Dm            Dm-Em

  smoga  kau kan tetap

  F         G           C

   jadi apa yang kuinginkan

Int. C F

C                   F

 mengapa oh mengapa dirimu

C                     F

 penuh dengan rasa bimbang

G             Am         F

tak perlu kau pergi tuk mencari

G         Am    F

Mencari arti cinta..

Reff

      C

  aku sendiri disini menunggu

      G

  aku sendiri disini menanti

      Am           Em       F     G

  aku tak terbiasa untuk berharap

       C

  berlari untuk mengejar dirimu

        G

  dalam menggapai semua impiku

       Dm            Dm-Em

  smoga  kau kan tetap

  F         G           C

   jadi apa yang kuinginkan

                  G

jangan pernah berubah

G          Dm

Ingat janjimu

                     F     G      C

jangan pernah menghilang dari hatiku

Reff

      C

  aku sendiri disini menunggu

      G

  aku sendiri disini menanti

      Am           Em       F     G

  aku tak terbiasa untuk berharap

       C

  berlari untuk mengejar dirimu

        G

  dalam menggapai semua impiku

       Dm            Dm-Em

  smoga  kau kan tetap

  F         G           C

   jadi apa yang kuinginkan..","C, F, G, Am, Em, Dm","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}}"
Takut,Vierratale,https://www.chordtela.com/2015/03/vierra-takut.html,chordtela,,C major,0.844,,,,,,"Intro : F….

F          Em

 ku tahu kamu bosan

Dm         C

 ku tahu kamu jenuh

F          Em  A

 ku tahu kamu uu

Dm     G     C

 tak tahan lagi

F          Em

 ini semua salahku

Dm         C

 ini semua sebabku

F          Em  A

 ku tahu kamu uu

Dm     G     C

 tak tahan lagi

F        Em

jangan sedih

Dm        C

jangan sedih

F      Em   Dm  G

aku pasti setia..

Reff:

        F   G       Em Am

  aku takut kamu pergi

         Dm   G        C  C7

  kamu hilang..kamu sakit

         D   F        Em A

  aku ingin  kau di sini

            Dm  G      F

  di sampingku  selamanya

Musik : F Em Dm G C

F        Em

jangan takut

Dm        C

jangan sedih

F      Em   Dm  G

aku pasti setia..

Reff:

        F   G       Em Am

  aku takut kamu pergi

         Dm   G        C  C7

  kamu hilang..kamu sakit

         D   F        Em A

  aku ingin  kau di sini

            Dm  G      F

  di sampingku  selamanya

Musik : F Em Dm G C

     D     F        Em A

aku ingin..kau di sini

          Dm G      C  C7

di sampingku selamanya

      F             G

aku takut (jangan takut)

        Em           Am

kamu pergi (takkan pergi)

       Dm   G       C  C7

kamu hilang kamu sakit

      D           F

aku ingin (aku juga)

         Em         A

kau di sini (bersamamu)

          Dm            G

di sampingku (di sampingmu)

       F  Em Dm G C

selamanya...","F, Em, Dm, C, A, G, Am, C7, D","{'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'Dm': {'roman': 'ii', 'function': 'SD', 'diatonic': True}, 'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'A': {'roman': '[vi]', 'function': 'T', 'diatonic': False}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'C7': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'D': {'roman': '[ii]', 'function': 'SD', 'diatonic': False}}"
Terlalu Lama,Vierratale,https://www.chordtela.com/2015/02/vierra-terlalu-lama.html,chordtela,,C major,1.0,,,,,,"Intro : C G Am F

        C G Am F

C

sudah lama ku menanti dirimu

Am                   F

tak tahu sampai kapankah

C

sudah lama kita bersama-sama

Am              F

tapi segini sajakah

G              F

entah sampai kapan

G              F

entah sampai kapan

Reff:

  C            G

  hari ini ku akan

               Am

  menyatakan cinta

              F

  nyatakan cinta

  C             G

  aku tak mau menunggu

            Am

  terlalu lama

            F

  terlalu lama

Int. F

C

sadarkah kau, ku adalah wanita

Am                  F

aku tak mungkin memulai

C

sadarkah kau, kau menggantung diriku

Am                F

aku tak mau menunggu

G              F

entah sampai kapan

G              F

entah sampai kapan

Reff:

  C            G

  hari ini ku akan

               Am

  menyatakan cinta

              F

  nyatakan cinta

  C             G

  aku tak mau menunggu

            Am

  terlalu lama

            F

  terlalu lama

Musik : Am F C G

        Am F C G

Reff:

  C            G

  (hari ini ku akan

                Am

  menyatakan cinta)

               F

  (nyatakan cinta)

  C             G

  aku tak mau menunggu

            Am

  terlalu lama

            F

  terlalu lama

  C            G

  hari ini ku akan

               Am

  menyatakan cinta

              F

  nyatakan cinta

  C             G

  aku tak mau menunggu

            Am

  terlalu lama

            F

  terlalu lama

Outro : F..","C, G, Am, F","{'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}}"
Semua Tentangmu,Vierratale,https://www.chordtela.com/2017/05/vierra-semua-tentangmu.html,chordtela,,C major,1.0,,,,,,"Intro : F G Am Em

        F G C..

        F G Am Em

        F G C..

*)

Am           C

semua tentangmu

    F           G

selalu membekas di hati ini

Am              C

..cerita cinta kita berdua

  F

akan selalu..

#)

   G           Am

semua kenangan tak mungkin

   F

bisa..kulupakan kuhilangkan

 G               Am

takkan mungkin kubiarkan

   F          G

cinta.. kita berakhir..

Reff:

           F G Am

 ku tak rela..

 Em        F         G        C

 ku tak ingin kau lepaskan semua..

   F      G     Am

 ikatan tali cinta..

 Em          F          G    C

 yang tlah kita buat s'lama ini..

*)

Am           C

semua tentangmu

    F           G

selalu membekas di hati ini

Am              C

..cerita cinta kita berdua

  F

akan selalu..

#)

   G           Am

semua kenangan tak mungkin

   F

bisa..kulupakan kuhilangkan

 G               Am

takkan mungkin kubiarkan

   F          G

cinta.. kita berakhir..

Reff:

           F G Am

 ku tak rela..

 Em        F         G        C

 ku tak ingin kau lepaskan semua..

   F      G     Am

 ikatan tali cinta..

 Em          F          G    C

 yang tlah kita buat s'lama ini..

C            F

..aku disini.. slalu menanti

Am            Em          F

..ku takkan letih menunggumu..

C            F

..aku disini.. slalu menanti

Am            Em          F  G

..ku takkan letih menunggumu uu..

Reff:

           F G Am

 ku tak rela..

 Em        F         G        C

 ku tak ingin kau lepaskan semua..

   F      G     Am

 ikatan tali cinta..

 Em          F          G    C

 yang tlah kita buat s'lama ini..

           F G Am

 ku tak rela..

 Em        F         G        C

 ku tak ingin kau lepaskan semua..

   F      G     Am

 ikatan tali cinta..

 Em          F          G    C

 yang tlah kita buat s'lama ini..

Outro : F G Am Em

        F G..C..

Catatan:

Chord capo di fret 3","F, G, Am, Em, C","{'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'Em': {'roman': 'iii', 'function': 'T', 'diatonic': True}, 'C': {'roman': 'I', 'function': 'T', 'diatonic': True}}"
Pertemuan Singkat,Vierratale,https://www.chordtela.com/2014/11/pertemuan-singkat-vierratale.html,chordtela,,C major,0.86,,,,,,"Am    F       G

 Pertemuan singkat

Am       F     C       G

 Dan berjalan sangat cepat

Am     F     G

 Tidak disangka

Am    F       C       G       F

 Aku langsung terhipnotis olehmu

Reff:

           Am    F

    Setidaknya kamu

                C    G

    sempat menjadi milikku

                 Am       F

    Meskipun tak lama hal itu

               C      G    F

    telah membuat ku bahagia

Am     F      G

 Kau buat hidupku

Am      F    C      G

 Tak berarti tanpa kamu

Am    F        G

 Kini kau menghilang

Am    F   C      G       F

 Dan aku terhipnotis olehmu

Kembali ke : Reff

F                G         E     Am

 Dengan masalah besar yang dihadapi

    G          F        G

Segitu saja perjuanganmu  (untukku)

Kembali ke : Reff

Am   F      G

 Pertemuan singkat

Am     F   C      G

 Dan berjalan sangat cepat","Am, F, G, C, E","{'Am': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'F': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'G': {'roman': 'V', 'function': 'D', 'diatonic': True}, 'C': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'E': {'roman': '[iii]', 'function': 'T', 'diatonic': False}}"
Dengarkan Curhatku,Vierratale,https://www.chordtela.com/2014/11/dengarkan-curhatku-vierratale.html,chordtela,,D major,1.0,,,,,,"Intro : D

D          G

 Dengarkan curhatku

D          G

 Tentang dirinya

D       G

 Betapa anehnya

D          G

 Tingkah lakunya

Reff:

     D               D             G

     Jujurlah padaku Jujurlah padaku

     Bm

     Kau menyimpan rasa

     A                  G

     Kau menyimpan rasa cinta

     D               D             G

     Nyatakan padaku Nyatakan padaku

     Bm           A            G

     Perasaan itu Perasaan itu cinta

D          G

 Dengarkan curhatku

D          G

 Tentang dirinya

D       G

 Betapa manisnya

D         G

 Senyum bibirnya

Kembali ke : Reff

Musik : D G D G

D          G

 Dengarkan curhatku

Kembali ke : Reff

D          G

 Dengarkan curhatku

D          G

 Tentang dirinya

Outro : G","D, G, Bm, A","{'D': {'roman': 'I', 'function': 'T', 'diatonic': True}, 'G': {'roman': 'IV', 'function': 'SD', 'diatonic': True}, 'Bm': {'roman': 'vi', 'function': 'T', 'diatonic': True}, 'A': {'roman': 'V', 'function': 'D', 'diatonic': True}}"
